SaleID,CustomerID,ProductID,Quantity,SaleDate
1001,1,101,2,2023-01-15
1002,2,102,1,2023-01-20
1003,3,103,3,2023-02-11
1004,4,104,1,2023-02-15
1005,5,105,2,2023-03-05
1006,6,106,5,2023-03-07
1007,7,107,3,2023-03-10
1008,8,108,1,2023-03-12
1009,9,109,2,2023-03-18
1010,10,110,4,2023-03-25
1011,1,101,2,2023-01-15
1012,2,102,1,2023-01-20
1013,3,103,3,2023-02-11
1014,4,104,1,2023-02-15
1015,5,105,2,2023-03-05
1016,6,106,5,2023-03-07
1017,7,107,3,2023-03-10
1018,8,108,1,2023-03-12
1019,9,109,2,2023-03-18
1020,10,110,4,2023-03-25
1021,11,111,3,2023-04-01
1022,12,112,1,2023-04-05
1023,13,113,2,2023-04-10
1024,14,114,1,2023-04-15
1025,15,115,2,2023-04-20
1026,16,116,5,2023-04-25
1027,17,117,3,2023-04-30
1028,18,118,1,2023-05-05
1029,19,119,2,2023-05-10
1030,20,120,4,2023-05-15
1031,21,121,2,2023-05-20
1032,22,122,1,2023-05-25
1033,23,123,3,2023-05-30
1034,24,124,1,2023-06-04
1035,25,125,2,2023-06-09
1036,26,126,5,2023-06-14
1037,27,127,3,2023-06-19
1038,28,128,1,2023-06-24
1039,29,129,2,2023-06-29
1040,30,130,4,2023-07-04
1041,31,131,2,2023-07-09
1042,32,132,1,2023-07-14
1043,33,133,3,2023-07-19
1044,34,134,1,2023-07-24
1045,35,135,2,2023-07-29
1046,36,136,5,2023-08-03
1047,37,137,3,2023-08-08
1048,38,138,1,2023-08-13
1049,39,139,2,2023-08-18
1050,40,140,4,2023-08-23
